Time,Type,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Pressure,1415.0,3830.0,0.0,0.0,0.0,0.0,0.0,1732.0,,
0,Humidity,,,,,,,,,,7694.0
0,Temperature,,,,,,,,,3367.0,
50,Pressure,1421.0,3837.0,0.0,0.0,0.0,0.0,0.0,1736.0,,
100,Pressure,1442.0,3830.0,0.0,0.0,0.0,0.0,0.0,1732.0,,
150,Pressure,1555.0,3838.0,0.0,0.0,0.0,0.0,0.0,1749.0,,
200,Pressure,1504.0,3821.0,0.0,0.0,0.0,0.0,0.0,1750.0,,
250,Pressure,1418.0,3810.0,0.0,0.0,0.0,0.0,0.0,1781.0,,
300,Pressure,1407.0,3798.0,0.0,0.0,0.0,0.0,0.0,1774.0,,
350,Pressure,1358.0,3771.0,0.0,0.0,0.0,0.0,0.0,1776.0,,
400,Pressure,1387.0,3742.0,0.0,0.0,0.0,0.0,0.0,1781.0,,
450,Pressure,1407.0,3716.0,0.0,0.0,0.0,0.0,0.0,1759.0,,
500,Pressure,1238.0,3718.0,0.0,0.0,0.0,0.0,0.0,1803.0,,
550,Pressure,884.0,3754.0,0.0,0.0,0.0,0.0,0.0,1864.0,,
600,Pressure,619.0,3795.0,0.0,0.0,0.0,0.0,0.0,1656.0,,
650,Pressure,381.0,3811.0,0.0,0.0,0.0,0.0,0.0,1631.0,,
700,Pressure,352.0,3786.0,0.0,0.0,0.0,0.0,0.0,1611.0,,
750,Pressure,283.0,3767.0,0.0,0.0,0.0,0.0,0.0,1664.0,,
800,Pressure,192.0,3798.0,0.0,0.0,0.0,0.0,0.0,1704.0,,
850,Pressure,140.0,3763.0,0.0,0.0,0.0,0.0,0.0,1758.0,,
900,Pressure,144.0,3705.0,0.0,0.0,0.0,0.0,0.0,1790.0,,
950,Pressure,182.0,3702.0,0.0,0.0,0.0,0.0,0.0,1785.0,,
1000,Pressure,206.0,3685.0,0.0,0.0,0.0,0.0,0.0,1811.0,,
1050,Pressure,116.0,3738.0,0.0,0.0,0.0,0.0,0.0,1808.0,,
1100,Pressure,0.0,3772.0,0.0,0.0,0.0,0.0,0.0,1783.0,,
